oai:ecommons.cornell.edu:1813/29279	Eckenrode, John Joseph
oai:ecommons.cornell.edu:1813/29280	Lee, David R
oai:ecommons.cornell.edu:1813/29281	Koslowski, Barbara Marie
oai:ecommons.cornell.edu:1813/29282	Denkers, Eric Young
oai:ecommons.cornell.edu:1813/29283	Jenkins, James Thomas
oai:ecommons.cornell.edu:1813/29284	Decker, Daniel Joseph
oai:ecommons.cornell.edu:1813/29285	Obendorf, Sharon Kay
oai:ecommons.cornell.edu:1813/29286	Pendall, Rolf J.
oai:ecommons.cornell.edu:1813/29287	Wolczanski, Peter Thomas
oai:ecommons.cornell.edu:1813/29288	Lassoie, James Philip
oai:ecommons.cornell.edu:1813/29289	Jirousek, Charlotte Ann
oai:ecommons.cornell.edu:1813/29290	Whitman, John
oai:ecommons.cornell.edu:1813/29291	Pillemer, Karl Andrew
oai:ecommons.cornell.edu:1813/29292	Hite, Molly Patricia
oai:ecommons.cornell.edu:1813/29293	Lowi, Theodore J
oai:ecommons.cornell.edu:1813/29294	Scanlon, Michael J.
oai:ecommons.cornell.edu:1813/29295	Bhave, Sunil A.
oai:ecommons.cornell.edu:1813/29296	Johnston, Robert Elliott
oai:ecommons.cornell.edu:1813/29297	Schrader, Dawn Ellen
oai:ecommons.cornell.edu:1813/29298	Hysell, David Lee
oai:ecommons.cornell.edu:1813/29299	Marohn, John A.
oai:ecommons.cornell.edu:1813/29300	Manohar, Rajit
oai:ecommons.cornell.edu:1813/29301	Schaffer, Chris
oai:ecommons.cornell.edu:1813/29302	Bassuk, Nina Lauren
oai:ecommons.cornell.edu:1813/29303	Quirk, Susan Mary
oai:ecommons.cornell.edu:1813/29304	Halpern, Bruce Peter
oai:ecommons.cornell.edu:1813/29305	Williams, Linda Brooks
oai:ecommons.cornell.edu:1813/29306	Van Amburgh, Michael E
oai:ecommons.cornell.edu:1813/29307	Wells, Martin Timothy
oai:ecommons.cornell.edu:1813/29308	Bowser, Paul Raymond
oai:ecommons.cornell.edu:1813/29309	Miller, William
oai:ecommons.cornell.edu:1813/29310	Pawlowski, Wojciech
oai:ecommons.cornell.edu:1813/29311	Helmann, John D
oai:ecommons.cornell.edu:1813/29312	Tomlan, Michael Andrew
oai:ecommons.cornell.edu:1813/29313	Webb, Watt Wetmore
oai:ecommons.cornell.edu:1813/29314	Hong, Yongmiao
oai:ecommons.cornell.edu:1813/29315	Suarez, Susan Stevens
oai:ecommons.cornell.edu:1813/29316	Sturgeon, Nicholas Lee
oai:ecommons.cornell.edu:1813/29317	Derry, Louis A.
oai:ecommons.cornell.edu:1813/29318	Sjamaar, Reyer
oai:ecommons.cornell.edu:1813/29319	Lipson, Michal
oai:ecommons.cornell.edu:1813/29320	Logevall, Fredrik
oai:ecommons.cornell.edu:1813/29321	Rand, Richard Herbert
oai:ecommons.cornell.edu:1813/29322	Reppy, Judith V
oai:ecommons.cornell.edu:1813/29323	Kline, Ronald R
oai:ecommons.cornell.edu:1813/29324	Brenna, James Thomas
oai:ecommons.cornell.edu:1813/29325	Booth, James
oai:ecommons.cornell.edu:1813/29326	Mukherjee, Subrata
oai:ecommons.cornell.edu:1813/29327	Sacks, Gavin Lavi
oai:ecommons.cornell.edu:1813/29328	Malliaras, George G
oai:ecommons.cornell.edu:1813/29329	Rooth, Mats
oai:ecommons.cornell.edu:1813/29330	Gross, James A
oai:ecommons.cornell.edu:1813/29331	Brock, Joel Donald
oai:ecommons.cornell.edu:1813/29332	Weber, Courtney A.
oai:ecommons.cornell.edu:1813/29333	Steen, Paul Herman
oai:ecommons.cornell.edu:1813/29334	King, Cynthia A.
oai:ecommons.cornell.edu:1813/29335	Tauer, Loren William
oai:ecommons.cornell.edu:1813/29336	Yen, Andrew
oai:ecommons.cornell.edu:1813/29337	Dhondt, Andre Alfons
oai:ecommons.cornell.edu:1813/29338	Harris Jr., Robert L
oai:ecommons.cornell.edu:1813/29339	Laquatra Jr, Joseph
oai:ecommons.cornell.edu:1813/29340	Miller, Matthew Peter
oai:ecommons.cornell.edu:1813/29341	Lipson, Hod
oai:ecommons.cornell.edu:1813/29342	Angert, Esther R.
oai:ecommons.cornell.edu:1813/29343	Kenkel, Donald S.
oai:ecommons.cornell.edu:1813/29344	Constas, Mark Alexander
