oai:ecommons.cornell.edu:1813/41002	Raguso,Robert A.
oai:ecommons.cornell.edu:1813/41008	Grinstein,Yaniv
oai:ecommons.cornell.edu:1813/41021	Scott,Felicity D.
oai:ecommons.cornell.edu:1813/41034	Coates,Geoffrey
oai:ecommons.cornell.edu:1813/41041	Gunn,Edward Mansfield
oai:ecommons.cornell.edu:1813/41072	Matteson,David
oai:ecommons.cornell.edu:1813/41077	Hairston Jr,Nelson George
oai:ecommons.cornell.edu:1813/41082	Coate,Stephen
oai:ecommons.cornell.edu:1813/41100	Strawderman,Robert Lee
oai:ecommons.cornell.edu:1813/41149	Coate,Stephen
oai:ecommons.cornell.edu:1813/41176	Clark,Andrew
oai:ecommons.cornell.edu:1813/43558	Schneider,Rebecca L.
oai:ecommons.cornell.edu:1813/43582	Henderson,Shane G.
oai:ecommons.cornell.edu:1813/43593	Freed,Jack H
oai:ecommons.cornell.edu:1813/43621	Clark,Andrew
oai:ecommons.cornell.edu:1813/43641	Yeung,Ping Eric
oai:ecommons.cornell.edu:1813/43667	Klein,Richard Jay
oai:ecommons.cornell.edu:1813/43675	Johnston,Robert Elliott
oai:ecommons.cornell.edu:1813/43694	Disalvo,Francis J
oai:ecommons.cornell.edu:1813/43694	Ober,Christopher Kemper
oai:ecommons.cornell.edu:1813/43723	Sherman,Paul Willard
