oai:ecommons.cornell.edu:1813/29769,"The word of truth: a sermon delivered by the Rt. Rev. Bishop Wilson, in the Masonic Hall, Shanghai, Sunday, 18th November, 1888",,In volume lettered: China and the Chinese. Pamphlets. Volume 44.,,Pamphlets
oai:ecommons.cornell.edu:1813/29770,"An inquiry into the proper mode of translating ruach and pneuma, in the Chinese version of the Scriptures",,In a volume lettered: China and the Chinese.,,Pamphlets
oai:ecommons.cornell.edu:1813/29771,Problems of practical Christianity in China,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 47.,,Pamphlets
oai:ecommons.cornell.edu:1813/29772,Twentieth century Christianity,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 47.,,Pamphlets
oai:ecommons.cornell.edu:1813/29773,"Sermon delivered May 6, 1849, in the North Dutch Church, Albany, on occasion of the lamented death of the Reverend William J. Pohlman, late missionary to China",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 48.,,Pamphlets
oai:ecommons.cornell.edu:1813/29774,A professorship of missionary instruction in our theological seminaries,,From the 'Bibliotheca Sacra' for July 1876. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 53.,,Pamphlets
oai:ecommons.cornell.edu:1813/29775,"General Survey of the missions of the American Board of Commissioners for Foreign Missions, 1868",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 53.,,Pamphlets
oai:ecommons.cornell.edu:1813/29776,Work among women & children in the Far East,,Published for the Society for the Propagation of the Gospel in Foreign Parts. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 54.,,Pamphlets
oai:ecommons.cornell.edu:1813/29777,The giant at the cross roads,,Issued by the King's Messengers' Committee. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 54.,,Pamphlets
oai:ecommons.cornell.edu:1813/29778,"God's plan for China: an outline study of some missionary principles, senior edition",,Issued by the King's Messengers' Committee. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 54.,,Pamphlets
oai:ecommons.cornell.edu:1813/29779,Historical sketches: north China,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 55.,,Pamphlets
oai:ecommons.cornell.edu:1813/29780,The use of opium and its bearing on the spread of Christianity in China,"A paper read before the Shanghai Missionary Conference, 19th May 1877.",In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 55.,,Pamphlets
oai:ecommons.cornell.edu:1813/29781,The opium question,Appendix: speeches delivered upon the opium question at the Shanghai Missionary Conference.,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 55.,,Pamphlets
oai:ecommons.cornell.edu:1813/29782,"Minutes of the General Association of Baptists, in Kentucky; of the Kentucky and Foreign Bible Society; and of the Roberts' Fund and China Mission Society",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 56.,,Pamphlets
oai:ecommons.cornell.edu:1813/29783,"True Celestials, or leaves from a Chinese sketch-book",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29784,The ministry of women,,"Reprinted from 'The Missionary Review of the World', 1894. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.",,Pamphlets
oai:ecommons.cornell.edu:1813/29785,The missionary,A paper read at the Shanghai Conference in 1890.,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29786,The story of a Chinese clergyman,,Missionary Stories No. 5. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29787,The story of a Chinese boy,,Missionary Stories No. 7. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29788,A little Chinese godson,,Missionary Stories No. 11. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29789,Mission work in Shantung,,Reprinted from The Mission Field. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29790,China claims upon Christians in America,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29791,The Anglican Church in north China,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29798,Christless Asia,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 57.,,Pamphlets
oai:ecommons.cornell.edu:1813/29799,A sister of charity in China: being a series of letters written to her family,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 58.,,Pamphlets
oai:ecommons.cornell.edu:1813/29800,After thirty years: three decades of the China Inland Mission,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 58.,,Pamphlets
oai:ecommons.cornell.edu:1813/29801,"The Jews in China: their synagogue, their scriptures, their history",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 58.,,Pamphlets
oai:ecommons.cornell.edu:1813/29802,Forty-eighth year of the American Board of Commissioners for Foreign Missions,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 62.,,Pamphlets
oai:ecommons.cornell.edu:1813/29803,History of the American Board of Commissioners for Foreign Missions,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 62.,,Pamphlets
oai:ecommons.cornell.edu:1813/29804,Baptist home missions in North America,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 63.,,Pamphlets
oai:ecommons.cornell.edu:1813/29805,Centenary volume of the Church Missionary Society for Africa and the East 1799-1899,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 63.,,Pamphlets
oai:ecommons.cornell.edu:1813/29806,The story of Baptist missions in foreign lands,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 63.,,Pamphlets
oai:ecommons.cornell.edu:1813/29807,The Home Missionary Magazine for 1835,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
oai:ecommons.cornell.edu:1813/29808,The Christian League of Philadelphia,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
oai:ecommons.cornell.edu:1813/29809,"Report of the work of the American Board of Commissioners for Foreign Missions, in co-operation with the Kumi-Ai Churches of Japan",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
oai:ecommons.cornell.edu:1813/29810,"The missionary guide-book; or, a key to the Protestant missionary map of the world",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
oai:ecommons.cornell.edu:1813/29811,The report of the directors to the thirty-third general meeting of the Missionary Society,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
